Combat Search Experiment - CombatSearch
Could not make directory: ../bin/results

************************************************
* Running Experiment: CombatSearch [Integral]
************************************************
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
   1590       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Py Pr Ga Pr Ze Pr Ga Pr
   1926     100.00            0.00          7400.00   Pr Ch_Ne Ga Pr Py Pr Ga Pr Ze Pr Ga Pr Ze
   1926     100.00            0.00          7400.00   Pr Ch_Ne Ga Pr Py Pr Ga Pr Ze Pr Ga Pr Ze Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
    278       0.00            0.00             0.00   Pr Ga
    363       0.00            0.00             0.00   Pr Ga Pr
    534       0.00            0.00             0.00   Pr Ga Pr Py
    635       0.00            0.00             0.00   Pr Ga Pr Py Pr
    907       0.00            0.00             0.00   Pr Ga Pr Py Pr Ga
    936       0.00            0.00             0.00   Pr Ga Pr Py Pr Ga Pr
    936       0.00            0.00             0.00   Pr Ga Pr Py Pr Ga Pr Ch_Ne
   1047       0.00            0.00             0.00   Pr Ga Pr Py Pr Ga Pr Ch_Ne As
   1121       0.00            0.00             0.00   Pr Ga Pr Py Pr Ga Pr Ch_Ne As Pr
   1318       0.00            0.00             0.00   Pr Ga Pr Py Pr Ga Pr Ch_Ne As Pr Ze
   1370       0.00            0.00             0.00   Pr Ga Pr Py Pr Ga Pr Ch_Ne As Pr Ze As
   1437       0.00            0.00             0.00   Pr Ga Pr Py Pr Ga Pr Ch_Ne As Pr Ze As Pr
   1576       0.00            0.00             0.00   Pr Ga Pr Py Pr Ga Pr Ch_Ne As Pr Ze As Pr Py
   1709       0.00            0.00             0.00   Pr Ga Pr Py Pr Ga Pr Ch_Ne As Pr Ze As Pr Py Pr
   1709       0.00            0.00             0.00   Pr Ga Pr Py Pr Ga Pr Ch_Ne As Pr Ze As Pr Py Pr Ch_Ne
   1926     100.00            0.00          7400.00   Pr Ga Pr Py Pr Ga Pr Ch_Ne As Pr Ze As Pr Py Pr Ch_Ne Ze
   1976     100.00         5000.00          7400.00   Pr Ga Pr Py Pr Ga Pr Ch_Ne As Pr Ze As Pr Py Pr Ch_Ne Ze Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
    278       0.00            0.00             0.00   Pr Ga
    363       0.00            0.00             0.00   Pr Ga Pr
    534       0.00            0.00             0.00   Pr Ga Pr Py
    635       0.00            0.00             0.00   Pr Ga Pr Py Pr
    907       0.00            0.00             0.00   Pr Ga Pr Py Pr Ga
    936       0.00            0.00             0.00   Pr Ga Pr Py Pr Ga Pr
